id,name,raw_affiliation,country_id,normalized_name
1,"Department Of Viroscience, Erasmus University Medical Center, Rotterdam, Netherlands.","Department of Viroscience, Erasmus University Medical Center, Rotterdam, Netherlands.",,
2,"European Molecular Biology Laboratory, Embl Grenoble, Grenoble, France.","European Molecular Biology Laboratory, EMBL Grenoble, Grenoble, France.",,
3,"University Grenoble Alpes, Cnrs, Cea, Embl, Grenoble, France.","University Grenoble Alpes, CNRS, CEA, EMBL, Grenoble, France.",,
4,"Biozentrum, University Of Basel, Basel, Switzerland.","Biozentrum, University of Basel, Basel, Switzerland.",,
5,"Department Of Cellular And Molecular Medicine, University Of California San Diego, La Jolla, Ca, Usa.","Department of Cellular and Molecular Medicine, University of California San Diego, La Jolla, CA, USA.",,
6,"Department Of Automation, Tsinghua University, Beijing, China.","Department of Automation, Tsinghua University, Beijing, China.",,
7,"Bradley Department Of Electrical And Computer Engineering, Virginia Tech, Arlington, Va, Usa.","Bradley Department of Electrical and Computer Engineering, Virginia Tech, Arlington, VA, USA.",,
8,"Department Of Biochemistry, University Of Toronto, Toronto, On, Canada.","Department of Biochemistry, University of Toronto, Toronto, ON, Canada.",,
9,"Cold Spring Harbor Laboratory, Cold Spring Harbor, Ny, Usa.","Cold Spring Harbor Laboratory, Cold Spring Harbor, NY, USA.",,
10,"Cold Spring Harbor Laboratory, School Of Biological Sciences, Cold Spring Harbor, Ny, Usa.","Cold Spring Harbor Laboratory, School of Biological Sciences, Cold Spring Harbor, NY, USA.",,
11,"Department Of Biology, University Of Massachusetts, Amherst, Ma, Usa.","Department of Biology, University of Massachusetts, Amherst, MA, USA.",,
12,"Institute Of Plant Science, The Hebrew University, Rehovot, Israel.","Institute of Plant Science, The Hebrew University, Rehovot, Israel.",,
13,"School Of Integrative Plant Science, Section Of Biology And The L. H. Bailey Hortorium, Cornell University, Ithaca, Ny, Usa.","School of Integrative Plant Science, Section of Biology and the L. H. Bailey Hortorium, Cornell University, Ithaca, NY, USA.",,
14,"Biodiversity Research Centre And Department Of Botany, University Of British Columbia, Vancouver, British Columbia, Canada.","Biodiversity Research Centre and Department of Botany, University of British Columbia, Vancouver, British Columbia, Canada.",,
15,"Csiro Environment, Sandy Bay, Tasmania, Australia.","CSIRO Environment, Sandy Bay, Tasmania, Australia.",,
16,"Department Of Materials Science And Nanoengineering And The Rice Advanced Materials Institute, Rice University, Houston, Tx, Usa.","Department of Materials Science and Nanoengineering and the Rice Advanced Materials Institute, Rice University, Houston, TX, USA.",,
17,"George W. Woodruff School Of Mechanical Engineering, Georgia Institute Of Technology, Atlanta, Ga, Usa.","George W. Woodruff School of Mechanical Engineering, Georgia Institute of Technology, Atlanta, GA, USA.",,
18,"Shared Equipment Authority, Rice University, Houston, Tx, Usa.","Shared Equipment Authority, Rice University, Houston, TX, USA.",,
19,"Department Of Electrical And Computer Engineering And Texas Center For Superconductivity At The University Of Houston (Tcsuh), University Of Houston, Houston, Tx, Usa.","Department of Electrical and Computer Engineering and Texas Center for Superconductivity at the University of Houston (TcSUH), University of Houston, Houston, TX, USA.",,
20,"Department Of Electrical And Computer Engineering, Rice University, Houston, Tx, Usa.","Department of Electrical and Computer Engineering, Rice University, Houston, TX, USA.",,
21,"Institute Of High Performance Computing (Ihpc), Agency For Science, Technology And Research (A*Star), Singapore , Singapore.","Institute of High Performance Computing (IHPC), Agency for Science, Technology and Research (A*STAR), Singapore , Singapore.",,
22,"Department Of Genetics, Stanford University, Stanford, Ca, Usa.","Department of Genetics, Stanford University, Stanford, CA, USA.",,
23,"Stanford Synchrotron Radiation Lightsource, Slac National Accelerator Laboratory, Stanford University, Stanford, Ca, Usa.","Stanford Synchrotron Radiation Lightsource, SLAC National Accelerator Laboratory, Stanford University, Stanford, CA, USA.",,
24,"Department Of Neuroscience, Vanderbilt University, Nashville, Tn, Usa.","Department of Neuroscience, Vanderbilt University, Nashville, TN, USA.",,
25,"Biomedical Engineering, University Of Oxford, Oxford, Uk.","Biomedical Engineering, University of Oxford, Oxford, UK.",,
